Invoice ID,Customer Name,Phone Number
1,vishu,684864
2,shalu,464
3,name,64654,
4,Vishu,9893989699,
5,Vishu,9893989699,
6,Chandramani,9893,
7,vishu,9893989699,
8,exit(),65dc2,
9,vishu,654,
10,vishu,665533,
11,vishu,56655,
12,vishu,65566,
13,vishu,2226,
14,dscdc,66,
15,zdvdsvd,516,
16,noone,64654,
17,vishu,6454,
18,dvsdv,14636,
19,fdbvdfbf,66665262,
20,dsvsdvds,65662,
21,dvsvdsv,646,
22,chandramani,626,
23,chandramani,65464,
24,Devdas,12121212,
25,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,vdsvdv,
26,vishu,5464,
27,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,
28,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,
29,vishu,65648468,
30,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,dbdb,
31,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,
32,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,gbgbgfb,
33,& C:/Users/hp/AppData/Local/Programs/Python/Python311/python.exe c:/Users/hp/python/project.py,gbfbg,
34,vishu,6565,
35,vishu,615161,
36,vishu,56554165,
37,vishu,65646,
38,Chandramani,465446,
39,chadnramani,566464,
40,chandramani,654654654,
41,vishu,9893989699,
42,vishu,556564,
43,vishu,893989699,
44,89484,,
45,vihus,65655,
46,vishu,898989898,
